id,title,description,availability,condition,price,link,image_link,brand,google_product_category,fb_product_category,quantity_to_sell_on_facebook,sale_price,sale_price_effective_date,item_group_id,gender,color,size,age_group,material,pattern,shipping,shipping_weight,gtin,video[0].url,video[0].tag[0],product_tags[0],product_tags[1],style[0]
15084,New York Fashion Week hõlmikseelik,,in stock,new,155.00 EUR,https://haruu.ee/toode/new-york-fashion-week-holmikseelik/,https://haruu.ee/wp-content/uploads/2025/05/DSC07529-Enhanced-NR-600x800.jpg,haruu,Apparel & Accessories > Clothing > Skirts,Apparel & Accessories > Clothing > Skirts,,,,,,,,,,,,,,,,,,
8348,Linased lühikesed püksid,,in stock,new,105.00 EUR,https://haruu.ee/toode/luhikesed-puksid-linasest/,https://haruu.ee/wp-content/uploads/2023/05/DSC07345-Enhanced-NR-600x800.jpg,haruu,Apparel & Accessories > Clothing > Pants,Apparel & Accessories > Clothing > Pants,,,,,,,,,,,,,,,,,,
7781,Linane lühike kimono vööga,,in stock,new,155.00 EUR,https://haruu.ee/toode/linane-luhike-kimono/,https://haruu.ee/wp-content/uploads/2022/10/DSC06662-Enhanced-NR-600x800.jpg,haruu,,,,,,,,,,,,,,,,,,,,
6965,Linane pikk kimono vööga,,in stock,new,179.00 EUR,https://haruu.ee/toode/100-linane-kimono/,https://haruu.ee/wp-content/uploads/2021/10/liivakarva-linane-naiste-kimono-3.jpg,haruu,,,,,,,,,,,,,,,,,,,,
10679,Haruu x Homeinestonia kleit,,in stock,new,165.00 EUR,https://haruu.ee/toode/kleit-homeinestonia-x-h-a-r-u-u-erikollektsioon/,https://haruu.ee/wp-content/uploads/2025/05/DSC07008-Enhanced-NR-600x800.jpg,haruu,Apparel & Accessories > Clothing > Dresses,Apparel & Accessories > Clothing > Dresses,,,,,,,,,,,,,,,,,,
8991,Haruu x Homeinestonia püksid,,in stock,new,125.00 EUR,https://haruu.ee/toode/puksid-homeinestonia-x-h-a-r-u-u-erikollektsioon/,https://haruu.ee/wp-content/uploads/2023/05/haruu1404-13-600x800.jpg,haruu,Apparel & Accessories > Clothing > Pants,Apparel & Accessories > Clothing > Pants,,,,,,,,,,,,,,,,,,
8976,Haruu x Homeinestonia pusa,,in stock,new,125.00 EUR,https://haruu.ee/toode/pusa-homeinestonia-x-h-a-r-u-u-erikollektsioon/,https://haruu.ee/wp-content/uploads/2025/05/DSC07132-Enhanced-NR-600x800.jpg,haruu,Apparel & Accessories > Clothing > Shirts & Tops,Apparel & Accessories > Clothing > Shirts & Tops,,,,,,,,,,,,,,,,,,
8997,Haruu x Homeinestonia kimono,,in stock,new,155.00 EUR,https://haruu.ee/toode/kimono-jakk-homeinestonia-x-h-a-r-u-u-erikollektsioon/,https://haruu.ee/wp-content/uploads/2025/05/DSC06893-Enhanced-NR-600x800.jpg,haruu,,,,,,,,,,,,,,,,,,,,
12468,Haruu t-särk,,in stock,new,65.00 EUR,https://haruu.ee/toode/haruu-t-sark/,https://haruu.ee/wp-content/uploads/2024/10/DSC07236-Enhanced-NR-1-600x800.jpg,haruu,Apparel & Accessories > Clothing > Shirts & Tops,Apparel & Accessories > Clothing > Shirts & Tops,,,,,,,,,,,,,,,,,,
8589,Siidist kimonokleit,,in stock,new,215.00 EUR,https://haruu.ee/toode/siidist-kimonokleit/,https://haruu.ee/wp-content/uploads/2023/07/DSC07634-Enhanced-NR-600x800.jpg,haruu,Apparel & Accessories > Clothing > Dresses,Apparel & Accessories > Clothing > Dresses,,,,,,,,,,,,,,,,,,
